Date,Hour Slot,Outdoor Steps,Basic Steps
"Sunday, August 18, 2019",8am-9am,57,
"Sunday, August 18, 2019",9am-10am,,
"Sunday, August 18, 2019",10am-11am,,24
"Sunday, August 18, 2019",11am-12pm,22,
"Sunday, August 18, 2019",12pm-1pm,38,
"Sunday, August 18, 2019",1pm-2pm,61,
"Sunday, August 18, 2019",2pm-3pm,,
"Sunday, August 18, 2019",3pm-4pm,,
"Sunday, August 18, 2019",4pm-5pm,,
"Sunday, August 18, 2019",5pm-6pm,14,
"Sunday, August 18, 2019",6pm-7pm,,
"Sunday, August 18, 2019",7pm-8pm,2139,
"Sunday, August 18, 2019",8pm-9pm,,
"Sunday, August 18, 2019",9pm-10pm,44,
"Sunday, August 18, 2019",10pm-11pm,,
"Sunday, August 18, 2019",11pm-12am,14,
"Monday, August 19, 2019",12am-1am,,
"Monday, August 19, 2019",1am-2am,,
"Monday, August 19, 2019",2am-3am,,
"Monday, August 19, 2019",3am-4am,,
"Monday, August 19, 2019",4am-5am,,
"Monday, August 19, 2019",5am-6am,361,
"Monday, August 19, 2019",6am-7am,708,
"Monday, August 19, 2019",7am-8am,387,
"Monday, August 19, 2019",8am-9am,,1222
"Monday, August 19, 2019",9am-10am,,177
"Monday, August 19, 2019",10am-11am,,155
"Monday, August 19, 2019",11am-12pm,,
"Monday, August 19, 2019",12pm-1pm,891,
"Monday, August 19, 2019",1pm-2pm,,
"Monday, August 19, 2019",2pm-3pm,90,
"Monday, August 19, 2019",3pm-4pm,,841
"Monday, August 19, 2019",4pm-5pm,,
"Monday, August 19, 2019",5pm-6pm,,
"Monday, August 19, 2019",6pm-7pm,,
"Monday, August 19, 2019",7pm-8pm,,
"Monday, August 19, 2019",8pm-9pm,430,
"Monday, August 19, 2019",9pm-10pm,,
"Monday, August 19, 2019",10pm-11pm,,
"Monday, August 19, 2019",11pm-12am,,
"Tuesday, August 20, 2019",12am-1am,,
"Tuesday, August 20, 2019",1am-2am,,
"Tuesday, August 20, 2019",2am-3am,,
"Tuesday, August 20, 2019",3am-4am,,
"Tuesday, August 20, 2019",4am-5am,,
"Tuesday, August 20, 2019",5am-6am,,
"Tuesday, August 20, 2019",6am-7am,891,
"Tuesday, August 20, 2019",7am-8am,606,
"Tuesday, August 20, 2019",8am-9am,,1158
"Tuesday, August 20, 2019",9am-10am,37,
"Tuesday, August 20, 2019",10am-11am,,
"Tuesday, August 20, 2019",11am-12pm,,
"Tuesday, August 20, 2019",12pm-1pm,,
"Tuesday, August 20, 2019",1pm-2pm,,
"Tuesday, August 20, 2019",2pm-3pm,2302,
"Tuesday, August 20, 2019",3pm-4pm,,
"Tuesday, August 20, 2019",4pm-5pm,,
"Tuesday, August 20, 2019",5pm-6pm,,
"Tuesday, August 20, 2019",6pm-7pm,,
"Tuesday, August 20, 2019",7pm-8pm,492,
"Tuesday, August 20, 2019",8pm-9pm,,
"Tuesday, August 20, 2019",9pm-10pm,,
"Tuesday, August 20, 2019",10pm-11pm,488,
"Tuesday, August 20, 2019",11pm-12am,,
"Wednesday, August 21, 2019",12am-1am,,
"Wednesday, August 21, 2019",1am-2am,,
"Wednesday, August 21, 2019",2am-3am,,
"Wednesday, August 21, 2019",3am-4am,,
"Wednesday, August 21, 2019",4am-5am,,
"Wednesday, August 21, 2019",5am-6am,82,
"Wednesday, August 21, 2019",6am-7am,,
"Wednesday, August 21, 2019",7am-8am,1596,
"Wednesday, August 21, 2019",8am-9am,1132,
"Wednesday, August 21, 2019",9am-10am,60,
"Wednesday, August 21, 2019",10am-11am,,
"Wednesday, August 21, 2019",11am-12pm,118,
"Wednesday, August 21, 2019",12pm-1pm,,
"Wednesday, August 21, 2019",1pm-2pm,,
"Wednesday, August 21, 2019",2pm-3pm,,
"Wednesday, August 21, 2019",3pm-4pm,,1016
"Wednesday, August 21, 2019",4pm-5pm,,
"Wednesday, August 21, 2019",5pm-6pm,,
"Wednesday, August 21, 2019",6pm-7pm,,
"Wednesday, August 21, 2019",7pm-8pm,,
"Wednesday, August 21, 2019",8pm-9pm,891,
"Wednesday, August 21, 2019",9pm-10pm,,2256
"Wednesday, August 21, 2019",10pm-11pm,,
"Wednesday, August 21, 2019",11pm-12am,,
"Thursday, August 22, 2019",12am-1am,,
"Thursday, August 22, 2019",1am-2am,,
"Thursday, August 22, 2019",2am-3am,,
